Model,Best Parameters,Mean Accuracy,Std Accuracy,Individual Accuracy Scores
Random Forest,"{'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 350}",0.825979493976843,0.022860667295885016,"[0.788546255506608, 0.8546255506607929, 0.8141592920353983, 0.8407079646017699, 0.831858407079646]"
XGBoost,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 500}",0.8560017153327356,0.03768034965476752,"[0.801762114537445, 0.9162995594713657, 0.8672566371681416, 0.8362831858407079, 0.8584070796460177]"
