contrast-1-0,correlation-1-0,dissimilarity-1-0,contrast-1-45,correlation-1-45,dissimilarity-1-45,contrast-1-90,correlation-1-90,dissimilarity-1-90,contrast-1-135,correlation-1-135,dissimilarity-1-135,Class
16.14572727,0.99545069,1.36751751,29.09181535,0.99181442,1.76443898,19.93238363,0.99438611,1.37602636,27.13106296,0.99236611,1.71481883,1
13.74804067,0.99587054,1.35666404,24.3104075,0.9927083,1.76415891,17.283268,0.99481107,1.42800423,24.54525963,0.99263786,1.77605739,1
10.210661,0.9972378,1.24857871,21.02497909,0.99432037,1.681872,17.06155081,0.99538654,1.40185903,22.40170133,0.99394846,1.71193692,1
11.2058456,0.9972579,1.30530485,27.50952168,0.99327774,1.80040486,22.05468846,0.99460546,1.48411262,26.90458806,0.99342556,1.79376798,1
21.728268,0.99482268,1.63867097,39.15310993,0.9906838,2.0977221,27.43924597,0.99346461,1.66814383,37.37322802,0.99110731,2.06575072,1
17.40385194,0.99555643,1.5560936,30.52828111,0.99221636,1.99064346,21.27060054,0.9945715,1.57413338,28.58495923,0.99271183,1.94822421,1
17.04479851,0.99616608,1.47105357,32.45483115,0.99270999,1.89378285,23.22435447,0.99477824,1.49192995,30.78720836,0.99308457,1.8560322,1
16.59859915,0.99599549,1.5506418,28.13583008,0.9932215,1.96276895,20.91101911,0.9949571,1.5980638,27.89984605,0.99327836,1.96944832,1
14.51828774,0.99629273,1.3118366,27.84882358,0.99289857,1.71393031,19.3215096,0.99506792,1.37709517,25.51133929,0.99349462,1.71175535,1
14.42601014,0.99649094,1.3857744,28.76637056,0.99301256,1.7895359,21.45372114,0.99478364,1.42629105,27.48777605,0.99332313,1.77505877,1
9.71511579,0.99737872,1.13429333,17.35144955,0.99532471,1.46708118,13.20572949,0.99643834,1.16085898,20.03147883,0.99460259,1.48354977,1
5.62993111,0.99746563,0.88297811,11.63471846,0.99477014,1.17254734,8.96078027,0.99596864,0.90760626,12.19955072,0.99451624,1.17597202,1
8.82336311,0.99676333,1.08336419,16.54677978,0.99393871,1.43885319,13.00566042,0.995231,1.17363641,18.40640857,0.99325751,1.44890123,1
11.81916096,0.99603499,1.26436137,21.19869889,0.99289851,1.6713121,15.68017657,0.99474176,1.35134739,22.06795078,0.99260732,1.65260482,1
11.69598337,0.9963085,1.20499707,20.59451086,0.99350935,1.57281737,13.76120509,0.99565828,1.25856587,19.18116988,0.99395479,1.55576352,1
6.62609152,0.99736769,0.93077926,13.59114606,0.99460858,1.22969097,8.6674956,0.99655807,0.95271986,11.29028825,0.9955213,1.21656014,1
6.27341171,0.99754951,0.95714539,15.15927551,0.99408721,1.35509829,13.07261313,0.99489571,1.11567786,17.35589989,0.99323043,1.37140655,1
7.60165,0.99736053,1.06250579,19.64789372,0.99318772,1.51340608,16.06770126,0.99442327,1.26264045,19.67199394,0.99317936,1.51710117,1
7.20643378,0.99763264,1.03278989,15.9900215,0.99475454,1.45256542,12.83169025,0.99578626,1.20290507,17.30408354,0.99432347,1.46113194,1
16.85076676,0.99619593,1.479697,29.85900489,0.99326863,1.95665359,21.61577818,0.99512197,1.580361,31.01399231,0.99300825,1.94215521,1
13.70079685,0.99655856,1.42029992,29.59312978,0.99257677,1.94329677,23.57445942,0.99408058,1.60203613,30.36998878,0.9923819,1.93332213,1
12.93617514,0.99710317,1.22231093,20.04116567,0.9955185,1.58811156,15.47044774,0.99653697,1.26261344,25.43549225,0.99431224,1.59361847,1
9.42732536,0.99752662,1.10941212,19.78219786,0.99481708,1.49692397,16.54421649,0.99566156,1.22952872,22.62270022,0.99407292,1.51053576,1
13.39192238,0.99717352,1.28775764,27.20053002,0.99426733,1.77276599,20.99713313,0.99557013,1.45928896,27.14294986,0.99427946,1.73460585,1
11.07267079,0.99679693,1.17582115,25.24419514,0.99270792,1.63220163,19.41614513,0.99438568,1.34906123,23.76137358,0.99313625,1.59791236,1
20.72709355,0.99544912,1.64824586,44.54215753,0.99023402,2.27300068,35.36124251,0.99223923,1.88400381,45.54107198,0.990015,2.2567774,1
12.30976735,0.99646736,1.23150591,26.04214884,0.99253714,1.73482412,20.6872627,0.99406565,1.43611287,27.37887787,0.99215407,1.70402327,1
17.96853305,0.99534368,1.48812637,41.51606585,0.98925695,2.15307902,33.25133504,0.99138692,1.80692447,40.34165455,0.98956085,2.09228086,1
11.2054599,0.99692751,1.18316286,30.05673414,0.99177055,1.76067435,24.50737167,0.99328302,1.4782477,28.76376873,0.99212456,1.72304926,1
7.07934717,0.99758858,0.91342875,15.16880781,0.99484053,1.23601107,11.69164789,0.99601924,1.00376204,16.61674325,0.99434803,1.26695679,1
2.58752198,0.99949626,0.71438489,5.68847218,0.9988941,1.10543486,3.47473454,0.99932383,0.85034804,5.64921878,0.99890173,1.0656522,1
8.21461438,0.99777557,1.07802424,21.90218712,0.99407733,1.60395625,16.7806828,0.99545789,1.32524463,21.69920207,0.99413222,1.58371723,1
13.53276675,0.99729496,1.30091757,29.32308441,0.99414693,1.84684951,22.40536062,0.99552327,1.53947439,29.43687526,0.99412422,1.8293089,1
3.30588918,0.99918244,0.72468103,8.78575581,0.99783022,1.11032561,6.70878735,0.99834155,0.88181025,10.29276066,0.99745804,1.11514681,1
18.69582138,0.99633422,1.4921241,31.19245412,0.99389229,1.98002175,23.30862414,0.99543161,1.59817377,35.43283441,0.99306199,1.94524186,1
14.32142692,0.99638473,1.31189639,25.63811224,0.99353723,1.73139944,17.39797544,0.99560994,1.37480129,25.33110816,0.99361462,1.70363503,1
10.46147289,0.99701634,1.12501928,20.82703737,0.99406851,1.46507428,15.09058024,0.99569793,1.15844356,21.18294692,0.99396715,1.47172082,1
10.32034311,0.9979734,1.24145685,20.64483024,0.99595154,1.70077437,14.78328922,0.99709814,1.33700727,22.45571388,0.99559643,1.66835872,1
10.23268807,0.99759896,1.11284095,20.8472957,0.99511523,1.47275807,16.27280374,0.99618325,1.20219703,22.25572856,0.99478522,1.49048604,1
4.24966252,0.99838718,0.83842258,14.61916544,0.99445979,1.25677354,11.79251104,0.99552667,1.03656123,13.65616471,0.99482474,1.26641981,1
1.85317543,0.99940801,0.57491553,8.13077902,0.99740639,1.01885021,6.29056442,0.99799153,0.82331538,7.33074503,0.99766159,0.96496708,1
5.0718724,0.99879674,0.84914491,18.22608279,0.99568203,1.33958004,15.1489092,0.99640764,1.10216732,18.44843958,0.99562935,1.30356201,1
5.57511417,0.99792185,0.9224521,14.74674772,0.99451098,1.31593566,12.21043686,0.99545083,1.08797961,15.24078978,0.99432709,1.33619399,1
5.61066949,0.99780766,0.89908474,14.21428282,0.99445392,1.32560898,11.58814167,0.99547439,1.08066775,14.84051202,0.99420958,1.29148003,1
10.12327016,0.99713548,1.13763731,21.81912759,0.99383481,1.53132334,16.94905235,0.99520619,1.24756914,22.45259632,0.99365581,1.55420667,1
4.93806119,0.99806004,0.85866966,12.70193717,0.99501714,1.24803897,10.2117584,0.99599028,1.00679096,13.27422143,0.99479264,1.22701767,1
