Model,Best Parameters,Mean Accuracy,Std Accuracy,Individual Accuracy Scores
Random Forest,"{'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 500}",0.4151573038088183,0.024626015728626816,"[0.40969162995594716, 0.46255506607929514, 0.3938053097345133, 0.41150442477876104, 0.39823008849557523]"
XGBoost,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 350}",0.39217964211921563,0.029864456375127458,"[0.3876651982378855, 0.44933920704845814, 0.37610619469026546, 0.36283185840707965, 0.38495575221238937]"
